VIN,ECU,ECU_VAL
WDDNUJT3GV3YLSOL5,HW95YMQ5,T1PTX1DK
WDDY2URA2EYOWT4KA,XAFPCX25,A1QS6TUV
WDDH1PN5H0499KGXF,SVNNDNPF,D0GSUFH1
WDDLSHZVB75YBV9EZ,AQHCZ22R,637P8C8Q
WDDOS7UPWYBWZPFXN,I7YIFLCY,OAZAHKHV
SJK6U5ARL6I1QU31S,D480TGT4,01FPCWT0
WDDAVGLJJCM2OECEI,L99G5RM1,5Z5HSBAA
SJKK2K36AL1ZDN5FQ,EUCKETM0,3YRY96RB
SJK7DPR3M3ZXAWZKT,3GPDIVBM,ZK1ACEOR
WDDMRQ84C216E44P8,Q25TNU1S,4F8JXD0L
SJKS4LY9DHQ7H1CGD,OM8RJNOT,QIV3IJCU
WDDF6SDIJ1M7D61G8,WDDVIMZ8,VADFNIDT
SJK6ISVASHI8HPE68,98PV9VF6,KCVWKGX3
SJK4RNTAFA55AZ0FY,SHV0KCMH,A6AXQQSJ
SJK551YC56PRIR6A0,5ZAZ9BN1,L8AQ9VKM
WDD7H2XW38NN49QY1,UTCTJMKI,U0A89A0K
WDDMI2K6TU2NFKC3Z,6QYID9KP,RMCKK7OZ
SJKQMWHKKA2LWC828,XGVFVLOT,2SK12OMZ
SJKVS1I3EMMLGCU1V,BIBI8T34,120X654S
SJK6JW6N5UVZCD49V,QS3O4PHY,8YTFGAKM
SJKH3DT8GEOO8E4LW,LDPK5HUQ,BVGK4FVH
SJKBJU0B1DDYQ0RJ1,QAM1C6ZK,TDU6J38L
WDDOWORXEFVG4Q6XU,I1OVMOZJ,QIXIU7FP
SJK5TWU6HV3JIYW68,PZHLGDSO,F5EAO7A5
WDDX6PB7INWX4JRE1,ZL10T8HL,K7I2JI1C
SJK3ICWDJN7L8BDDM,TOUM6WCG,CO23CPYK
SJKT4JTUNAM4ZQ0C8,VL9QZF92,929VZG2P
WDDHPUXNWF5GLRVUX,72M5Q26Y,JEEIJ0PZ
SJKGT1NWLF97X0ET7,8NSF7B1L,HWEQNRIO
WDDUNRWD65NHB7XFN,CWRO2J1V,X4TZHU91
WDDOLWAEKSP45T9AM,GKRFCL6S,GVL882WN
SJKNB5FR0E9ZHY8T4,708NOEY2,S4DPCBL0
SJK6N2WTCGYTKKRN7,L7RJU71F,67FQ9UQD
WDDN6P1QLNWKX7LZZ,BTM7LDCF,FBY11ODS
SJKNDXA2LEGHIVNVO,FUQJ2PVJ,5U42AACC
SJKJHG92H3K3YI70Q,YNUXLDUE,AW6LOWPF
WDDNELAG19RXSNRTH,NJQMFH8F,KRX8RRR5
WDD2LT71SHDIC1FZT,TAF4LRG5,YEHPPEA6
SJKFZP4R1L204JXRI,04PBY505,LE97PYP8
WDDY98G6YDVHVVEWT,PH8XCVXP,YZPQ90P6
SJK3APJWTZ43VEKKR,UTP1SUC1,ZDBH4Y3A
WDDV1ECO4B01DMXB9,WGI0CG9M,OPJ4G9NF
WDDCMS1XJ5FZN9MXA,G1MO4PJC,5V2W8GYG
WDDOFCID1R3T32YHZ,M35XBR22,LNG84OJ7
WDDJPUHJ0JDCY2YUF,ZJ0JWDUV,UOYZXJNQ
SJK1NM65GWH7JY8EJ,FMSL9Q4Y,O9DNLFX3
SJKWQ1MFJ5T9X5EEP,QUN7JDPG,1L5XETDQ
SJKIYD7EVP8KV43FM,VQE1I719,C8AO92I3
WDDYANS1SA1AADC3C,4EO6JE6B,3XKKX58Z
SJK2U14HTIHCAO8D3,LWQF8ZUZ,CZIU4U2M
WDDCGIPY45RZ5A0LY,7X63AZXV,XP79TC2N
SJKLMFXX9R5VUZ3BY,FK8GXMK5,2W8VDQQK
SJK5AKXUWCFVO7VU5,A43ZLJ3W,3KLIG38V
SJKSWAHWSMC6T5EYZ,VIJWVPXW,YCT4WEAF
WDD9JFU14OKCTIX5B,YN0CNTI3,1ZQEZ2P2
WDDLK3NW7IZ707NL2,N7PLPC40,84NGIVXX
